case,signal,aligned_delay_samples,reference_snr_db,correlation,energy_ratio,max_abs_error,clipped_samples,comparison_status,pass
FLAT,deterministic_broadband_noise,0,BYTE_EXACT,1.0,1.0,0,0,BYTE_EXACT,PASS
FLAT,music_like,0,BYTE_EXACT,1.0,1.0,0,0,BYTE_EXACT,PASS
FLAT,multitone,0,BYTE_EXACT,1.0,1.0,0,0,BYTE_EXACT,PASS
BASS,deterministic_broadband_noise,0,54.30935561268947,0.9999997871688309,1.0036259450840852,7,0,FINITE_ERROR,PASS
BASS,music_like,0,55.62048366755613,0.9999997862759373,1.0030441354059672,4,0,FINITE_ERROR,PASS
BASS,multitone,0,54.269450385880575,0.9999997614860354,1.0036164006365687,3,0,FINITE_ERROR,PASS
VOCAL,deterministic_broadband_noise,0,66.53979886987429,0.999999889111527,1.000014335948373,2,0,FINITE_ERROR,PASS
VOCAL,music_like,0,62.5511564499448,0.9999997475224816,0.9995487631909722,1,0,FINITE_ERROR,PASS
VOCAL,multitone,0,66.25628036902145,0.9999998817687626,0.9999633094450497,1,0,FINITE_ERROR,PASS
TREBLE,deterministic_broadband_noise,0,67.0779937691073,0.9999999020163456,1.0000053459367908,2,0,FINITE_ERROR,PASS
TREBLE,music_like,0,60.357407768534365,0.9999996146058704,1.0007745204689948,2,0,FINITE_ERROR,PASS
TREBLE,multitone,0,67.64230414431134,0.9999999153024336,1.000103764092957,1,0,FINITE_ERROR,PASS
V_SHAPE,deterministic_broadband_noise,0,69.87503807144864,0.9999999489855558,0.99994022426239,2,0,FINITE_ERROR,PASS
V_SHAPE,music_like,0,68.80335731679173,0.9999999346862034,0.9999336521499793,1,0,FINITE_ERROR,PASS
V_SHAPE,multitone,0,66.40948292578419,0.9999998866015605,0.9999151528266695,1,0,FINITE_ERROR,PASS
CUSTOM_STRESS,deterministic_broadband_noise,0,69.86935659271704,0.9999999484736285,1.0000020307037922,1,0,FINITE_ERROR,PASS
CUSTOM_STRESS,music_like,0,68.82324158927369,0.99999993516228,1.0000759414083111,1,0,FINITE_ERROR,PASS
CUSTOM_STRESS,multitone,0,66.34457798432209,0.999999884062595,0.9999749354311718,1,0,FINITE_ERROR,PASS
