case,requested_frequency_hz,actual_frequency_hz,fundamental_bin,coherent,window,input_thd_db,output_thd_db,thd_increase_db,thd_limit_db,harmonic_count,clip_count,measurement_status,pass
FLAT,97.65625,97.65625,16,1,rectangular_coherent,-90.69054840512025,-90.69054840512025,0.0,-60.0,19,0,MEASURED,PASS
BASS,97.65625,97.65625,16,1,rectangular_coherent,-90.69054840512025,-90.9503717702593,-0.2598233651390416,-60.0,19,0,MEASURED,PASS
VOCAL,97.65625,97.65625,16,1,rectangular_coherent,-90.69054840512025,-85.79503860915345,4.895509795966802,-60.0,19,0,MEASURED,PASS
TREBLE,97.65625,97.65625,16,1,rectangular_coherent,-90.69054840512025,-89.28828199726792,1.4022664078523377,-60.0,19,0,MEASURED,PASS
V_SHAPE,97.65625,97.65625,16,1,rectangular_coherent,-90.69054840512025,-93.85769111901892,-3.16714271389867,-60.0,19,0,MEASURED,PASS
CUSTOM_STRESS,97.65625,97.65625,16,1,rectangular_coherent,-90.69054840512025,-87.70630114232965,2.9842472627906034,-60.0,19,0,MEASURED,PASS
FLAT,390.625,390.625,64,1,rectangular_coherent,-84.32590785618254,-84.32590785618254,0.0,-60.0,19,0,MEASURED,PASS
BASS,390.625,390.625,64,1,rectangular_coherent,-84.32590785618254,-84.08971739011628,0.2361904660662617,-60.0,19,0,MEASURED,PASS
VOCAL,390.625,390.625,64,1,rectangular_coherent,-84.32590785618254,-84.03636210703084,0.2895457491516993,-60.0,19,0,MEASURED,PASS
TREBLE,390.625,390.625,64,1,rectangular_coherent,-84.32590785618254,-82.02559057336242,2.3003172828201173,-60.0,19,0,MEASURED,PASS
V_SHAPE,390.625,390.625,64,1,rectangular_coherent,-84.32590785618254,-82.69361473800005,1.6322931181824885,-60.0,19,0,MEASURED,PASS
CUSTOM_STRESS,390.625,390.625,64,1,rectangular_coherent,-84.32590785618254,-88.69649520065019,-4.370587344467651,-60.0,19,0,MEASURED,PASS
FLAT,976.5625,976.5625,160,1,rectangular_coherent,-86.40357382886627,-86.40357382886627,0.0,-60.0,19,0,MEASURED,PASS
BASS,976.5625,976.5625,160,1,rectangular_coherent,-86.40357382886627,-86.19008999080775,0.21348383805852222,-60.0,19,0,MEASURED,PASS
