core,preset,section,type,f0_hz,gain_db,q_or_bw,b0,b1,b2,a1,a2,pole_radius_1,pole_radius_2,pass
legacy,flat,0,legacy_bandpass,31.25,0,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,flat,1,legacy_bandpass,62.5,0,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,flat,2,legacy_bandpass,125,0,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,flat,3,legacy_bandpass,250,0,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,flat,4,legacy_bandpass,500,0,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,flat,5,legacy_bandpass,1000,0,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,flat,6,legacy_bandpass,2000,0,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,flat,7,legacy_bandpass,4000,0,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,flat,8,legacy_bandpass,8000,0,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,flat,9,legacy_bandpass,16000,0,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
legacy,bass,0,legacy_bandpass,31.25,6,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,bass,1,legacy_bandpass,62.5,6,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,bass,2,legacy_bandpass,125,5,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,bass,3,legacy_bandpass,250,3,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,bass,4,legacy_bandpass,500,1,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,bass,5,legacy_bandpass,1000,0,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,bass,6,legacy_bandpass,2000,0,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,bass,7,legacy_bandpass,4000,1,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,bass,8,legacy_bandpass,8000,2,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,bass,9,legacy_bandpass,16000,2,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
legacy,vocal,0,legacy_bandpass,31.25,-4,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,vocal,1,legacy_bandpass,62.5,-3,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,vocal,2,legacy_bandpass,125,-2,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,vocal,3,legacy_bandpass,250,2,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,vocal,4,legacy_bandpass,500,4,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,vocal,5,legacy_bandpass,1000,4,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,vocal,6,legacy_bandpass,2000,3,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,vocal,7,legacy_bandpass,4000,2,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,vocal,8,legacy_bandpass,8000,-1,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,vocal,9,legacy_bandpass,16000,-3,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
legacy,treble,0,legacy_bandpass,31.25,-3,3,0.000654067961,0,-0.000654067961,-1.99867654,0.998691916,0.99934572,0.99934572,PASS
legacy,treble,1,legacy_bandpass,62.5,-3,3,0.00130726572,0,-0.00130726572,-1.99732387,0.997385502,0.998691916,0.998691916,PASS
legacy,treble,2,legacy_bandpass,125,-2,3,0.00261099776,0,-0.00261099776,-1.99453211,0.994778097,0.997385621,0.997385621,PASS
legacy,treble,3,legacy_bandpass,250,-1,3,0.00520743709,0,-0.00520743709,-1.98860335,0.989585102,0.994778931,0.994778931,PASS
legacy,treble,4,legacy_bandpass,500,0,3,0.0103533389,0,-0.0103533389,-1.97539043,0.979293346,0.989592493,0.989592493,PASS
legacy,treble,5,legacy_bandpass,1000,0,3,0.0204352811,0,-0.0204352811,-1.94372141,0.959129393,0.979351521,0.979351521,PASS
legacy,treble,6,legacy_bandpass,2000,2,3,0.0396035984,0,-0.0396035984,-1.86107194,0.920792818,0.959579527,0.959579527,PASS
legacy,treble,7,legacy_bandpass,4000,4,3,0.07304281,0,-0.07304281,-1.63362265,0.85391444,0.924074888,0.924074888,PASS
legacy,treble,8,legacy_bandpass,8000,6,3,0.117976367,0,-0.117976367,-1.05243075,0.764047265,0.874097943,0.874097943,PASS
legacy,treble,9,legacy_bandpass,16000,6,3,0.142855436,0,-0.142855436,0.00907814689,0.714289129,0.845156252,0.845156252,PASS
