preset,freq_hz,magnitude_db,phase_deg,group_delay_samples
flat,20,0.000000000,0.000000000,-0.000000000
flat,20.2721977,0.000000000,0.000000000,-0.000000000
flat,20.5480995,0.000000000,0.000000000,-0.000000000
flat,20.8277569,0.000000000,0.000000000,-0.000000000
flat,21.1112213,0.000000000,0.000000000,-0.000000000
flat,21.3985424,0.000000000,0.000000000,-0.000000000
flat,21.6897736,0.000000000,0.000000000,-0.000000000
flat,21.9849739,0.000000000,0.000000000,-0.000000000
flat,22.2841873,0.000000000,0.000000000,-0.000000000
flat,22.587471,0.000000000,0.000000000,-0.000000000
flat,22.8948841,0.000000000,0.000000000,-0.000000000
flat,23.20648,0.000000000,0.000000000,-0.000000000
flat,23.5223179,0.000000000,0.000000000,-0.000000000
flat,23.8424549,0.000000000,0.000000000,-0.000000000
flat,24.1669464,0.000000000,0.000000000,-0.000000000
flat,24.4958553,0.000000000,0.000000000,-0.000000000
flat,24.8292427,0.000000000,0.000000000,-0.000000000
flat,25.1671658,0.000000000,0.000000000,-0.000000000
flat,25.5096874,0.000000000,0.000000000,-0.000000000
flat,25.8568707,0.000000000,0.000000000,-0.000000000
flat,26.2087803,0.000000000,0.000000000,-0.000000000
flat,26.5654774,0.000000000,0.000000000,-0.000000000
flat,26.9270363,0.000000000,0.000000000,-0.000000000
flat,27.2935104,0.000000000,0.000000000,-0.000000000
flat,27.6649723,0.000000000,0.000000000,-0.000000000
flat,28.0414886,0.000000000,0.000000000,-0.000000000
flat,28.42313,0.000000000,0.000000000,-0.000000000
flat,28.8099651,0.000000000,0.000000000,-0.000000000
flat,29.2020664,0.000000000,0.000000000,-0.000000000
flat,29.5995026,0.000000000,0.000000000,-0.000000000
flat,30.0023479,0.000000000,0.000000000,-0.000000000
flat,30.410675,0.000000000,0.000000000,-0.000000000
flat,30.8245621,0.000000000,0.000000000,-0.000000000
flat,31.2440796,0.000000000,0.000000000,-0.000000000
flat,31.6693077,0.000000000,0.000000000,-0.000000000
flat,32.1003304,0.000000000,0.000000000,-0.000000000
flat,32.5372047,0.000000000,0.000000000,-0.000000000
flat,32.9800415,0.000000000,0.000000000,-0.000000000
flat,33.428894,0.000000000,0.000000000,-0.000000000
flat,33.8838577,0.000000000,0.000000000,-0.000000000
flat,34.3450127,0.000000000,0.000000000,-0.000000000
flat,34.8124428,0.000000000,0.000000000,-0.000000000
flat,35.2862358,0.000000000,0.000000000,-0.000000000
flat,35.7664795,0.000000000,0.000000000,-0.000000000
flat,36.2532578,0.000000000,0.000000000,-0.000000000
flat,36.7466583,0.000000000,0.000000000,-0.000000000
flat,37.2467766,0.000000000,0.000000000,-0.000000000
flat,37.7537003,0.000000000,0.000000000,-0.000000000
flat,38.2675323,0.000000000,0.000000000,-0.000000000
flat,38.7883415,0.000000000,0.000000000,-0.000000000
flat,39.3162537,0.000000000,0.000000000,-0.000000000
flat,39.8513336,0.000000000,0.000000000,-0.000000000
flat,40.3937149,0.000000000,0.000000000,-0.000000000
flat,40.94347,0.000000000,0.000000000,-0.000000000
flat,41.5007057,0.000000000,0.000000000,-0.000000000
flat,42.0655251,0.000000000,0.000000000,-0.000000000
flat,42.638031,0.000000000,0.000000000,-0.000000000
flat,43.2183304,0.000000000,0.000000000,-0.000000000
flat,43.8065262,0.000000000,0.000000000,-0.000000000
flat,44.4027252,0.000000000,0.000000000,-0.000000000
flat,45.0070419,0.000000000,0.000000000,-0.000000000
flat,45.6195831,0.000000000,0.000000000,-0.000000000
flat,46.2404594,0.000000000,0.000000000,-0.000000000
flat,46.8697968,0.000000000,0.000000000,-0.000000000
flat,47.507679,0.000000000,0.000000000,-0.000000000
flat,48.1542625,0.000000000,0.000000000,-0.000000000
flat,48.8096352,0.000000000,0.000000000,-0.000000000
