目标页 | 源页 | 版式理由
01 | 01 | 封面，保留学校与校园视觉。
02 | 02 | 章节页，短章节名。
03 | 03 | 标准“左图右文”，用于论文概览。
04 | 03 | 标准内容页，正文较短，为公式留空间。
05 | 03 | 两块左图正好容纳帧处理与窗函数示意。
06 | 05 | 第二章节页。
07 | 03 | 左侧图 5，右侧解释最小统计假设。
08 | 03 | 左侧改为四桶 MMSE 可编辑流程图。
09 | 10 | 两块同尺度图并排比较 α=20/200。
10 | 03 | 左侧图 8，右侧插入谱底公式。
11 | 02 | 复用较宽章节名框，避免第三章标题溢出。
12 | 03 | 左侧代码裁剪，右侧共轭对称与处理顺序。
13 | 10 | 两块谱图对比基础输入/输出。
14 | 03 | 左侧增强 1 谱图，右侧低通公式。
15 | 03 | 左侧增强 2 谱图，右侧比较多种平滑。
16 | 10 | 两块同尺度曲线图，标题缩为“α 随 SNR 自适应”。
17 | 10 | 两块谱图对应有色噪声与频率加权结果。
18 | 10 | 两块同尺度图，标题缩为“其他改进：性能与复杂度取舍”。
19 | 03 | 左侧改为最终系统可编辑流程图。
20 | 02 | 复用章节页作为第四章节。
21 | 03 | 左侧改为三类评价证据可编辑图示。
22 | 10 | 两块结果图：最终谱图 + SNR 柱状图。
23 | 10 | 左侧两块等宽区域改为“贡献/局限”可编辑框。
24 | 03 | 左侧改为 MMSE/αδ/λ 三元协同图。
25 | 13 | 结束页。
