region,origin,capacity_bytes,used_bytes,unused_bytes,utilization_percent,attributes
DSPL2ROM,0x00700000,1048576,0,1048576,0.0,RWIX
DSPL2RAM,0x00800000,262144,257124,5020,98.085022,RWIX
DSPL1PRAM,0x00e00000,32768,0,32768,0.0,RWIX
DSPL1DRAM,0x00f00000,32768,0,32768,0.0,RWIX
SHDSPL2ROM,0x11700000,1048576,0,1048576,0.0,RWIX
SHDSPL2RAM,0x11800000,262144,0,262144,0.0,RWIX
SHDSPL1PRAM,0x11e00000,32768,0,32768,0.0,RWIX
SHDSPL1DRAM,0x11f00000,32768,0,32768,0.0,RWIX
EMIFACS0,0x40000000,536870912,0,536870912,0.0,RWIX
EMIFACS2,0x60000000,33554432,0,33554432,0.0,RWIX
EMIFACS3,0x62000000,33554432,0,33554432,0.0,RWIX
EMIFACS4,0x64000000,33554432,0,33554432,0.0,RWIX
EMIFACS5,0x66000000,33554432,0,33554432,0.0,RWIX
User_Buf1,0x80000000,32768,0,32768,0.0,RWIX
User_Buf2,0x80008000,32768,0,32768,0.0,RWIX
SHRAM,0x80010000,65536,0,65536,0.0,RWIX
DDR2,0xc0000000,117440496,932544,116507952,0.794057,RWIX
User_ADLen,0xc6fffff0,2,0,2,0.0,RWIX
User_ADEn,0xc6fffff2,1,1,0,100.0,RWIX
User_ADFlag,0xc6fffff3,1,1,0,100.0,RWIX
User_ADPingPong,0xc6fffff4,1,1,0,100.0,RWIX
User_DALen,0xc6fffff8,2,2,0,100.0,RWIX
User_DAEn,0xc6fffffa,1,1,0,100.0,RWIX
User_DAFlag,0xc6fffffb,1,1,0,100.0,RWIX
User_DAPingPong,0xc6fffffc,1,1,0,100.0,RWIX
User_DASel,0xc6fffffd,1,1,0,100.0,RWIX
AD_Ch1Buf0,0xc7000000,16384,16384,0,100.0,RWIX
AD_Ch2Buf0,0xc7004000,16384,16384,0,100.0,RWIX
AD_Ch3Buf0,0xc7008000,16384,16384,0,100.0,RWIX
AD_Ch4Buf0,0xc700c000,16384,16384,0,100.0,RWIX
AD_Ch5Buf0,0xc7010000,16384,16384,0,100.0,RWIX
AD_Ch6Buf0,0xc7014000,16384,16384,0,100.0,RWIX
AD_Ch7Buf0,0xc7018000,16384,16384,0,100.0,RWIX
AD_Ch8Buf0,0xc701c000,16384,16384,0,100.0,RWIX
AD_Ch1Buf1,0xc7020000,16384,16384,0,100.0,RWIX
AD_Ch2Buf1,0xc7024000,16384,16384,0,100.0,RWIX
AD_Ch3Buf1,0xc7028000,16384,16384,0,100.0,RWIX
AD_Ch4Buf1,0xc702c000,16384,16384,0,100.0,RWIX
AD_Ch5Buf1,0xc7030000,16384,16384,0,100.0,RWIX
AD_Ch6Buf1,0xc7034000,16384,16384,0,100.0,RWIX
AD_Ch7Buf1,0xc7038000,16384,16384,0,100.0,RWIX
AD_Ch8Buf1,0xc703c000,16384,16384,0,100.0,RWIX
DA_Ch1Buf0,0xc7040000,16384,16384,0,100.0,RWIX
DA_Ch2Buf0,0xc7044000,16384,16384,0,100.0,RWIX
DA_Ch3Buf0,0xc7048000,16384,16384,0,100.0,RWIX
DA_Ch4Buf0,0xc704c000,16384,16384,0,100.0,RWIX
DA_Ch5Buf0,0xc7050000,16384,16384,0,100.0,RWIX
DA_Ch6Buf0,0xc7054000,16384,16384,0,100.0,RWIX
DA_Ch7Buf0,0xc7058000,16384,16384,0,100.0,RWIX
DA_Ch8Buf0,0xc705c000,16384,16384,0,100.0,RWIX
DA_Ch1Buf1,0xc7060000,16384,16384,0,100.0,RWIX
DA_Ch2Buf1,0xc7064000,16384,16384,0,100.0,RWIX
DA_Ch3Buf1,0xc7068000,16384,16384,0,100.0,RWIX
DA_Ch4Buf1,0xc706c000,16384,16384,0,100.0,RWIX
DA_Ch5Buf1,0xc7070000,16384,16384,0,100.0,RWIX
DA_Ch6Buf1,0xc7074000,16384,16384,0,100.0,RWIX
DA_Ch7Buf1,0xc7078000,16384,16384,0,100.0,RWIX
DA_Ch8Buf1,0xc707c000,16384,16384,0,100.0,RWIX
