section_name,category,run_address,load_address,size_bytes,size_kib,memory_region,region_capacity_bytes,region_utilization_percent,map_initialization
.text,code_readonly,0xc00bbc00,0xc00bbc00,121984,119.125,DDR2,117440496,0.794057,load image
.subband_l2,static_readwrite,0x00800000,,257124,251.097656,DSPL2RAM,262144,98.085022,no in-place load image
.stack,runtime_reserved,0xc00e1ed8,,2048,2.0,DDR2,117440496,0.794057,no in-place load image
.cio,static_readwrite,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.const,code_readonly,0xc00de5a8,0xc00de5a8,14636,14.292969,DDR2,117440496,0.794057,load image
.data,static_readwrite,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.switch,code_readonly,0xc00e2eb8,0xc00e2eb8,368,0.359375,DDR2,117440496,0.794057,load image
.sysmem,runtime_reserved,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.far,static_readwrite,0xc00d9880,,19748,19.285156,DDR2,117440496,0.794057,no in-place load image
.args,runtime_reserved,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.ppinfo,static_readwrite,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.ppdata,static_readwrite,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.neardata,static_readwrite,0xc00bb824,,884,0.863281,DDR2,117440496,0.794057,no in-place load image
.rodata,code_readonly,0xc00bbb98,,0,0.0,DDR2,117440496,0.794057,no in-place load image
.bss,static_readwrite,0xc00bbb98,,43,0.041992,DDR2,117440496,0.794057,no in-place load image
.pinit,code_readonly,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.cinit,code_readonly,0xc00e3028,0xc00e3028,2784,2.71875,DDR2,117440496,0.794057,load image
.binit,code_readonly,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.init_array,code_readonly,,,0,0.0,UNALLOCATED,0,0.0,no in-place load image
.fardata,static_readwrite,0xc00e26d8,,2013,1.96582,DDR2,117440496,0.794057,no in-place load image
